X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766676.81;6284805.49;0.54;0.09;33;4320;77.1
766680.03;6284803.77;0.45;0.07;46;3600;89.8
766682.1;6284802.72;0.5;0.06;40;4000;84
766684.97;6284801.15;0.46;0.07;50;3680;97
766687.57;6284799.8;0.36;0.11;59;2880;105.5
766690.21;6284798.4;0.54;0.09;33;4320;77.1
766693.11;6284796.97;0.51;0.13;41;4080;87.2
766695.1;6284795.81;0.43;0.18;56;3440;107.2
766698.66;6284793.84;0.48;0.03;42;3840;85.2
766699.87;6284793.31;0.38;0.12;50;3040;91.9
766703.09;6284791.6;0.5;0.1;36;4000;78.9
766704.97;6284790.5;0.44;0.12;50;3520;96.3
766707.5;6284789.25;0.4;0.18;56;3200;104.7
766710.99;6284787.3;0.39;0.14;49;3120;91.4
766712.84;6284786.33;0.51;0.07;49;4080;99.1
766716.54;6284784.43;0.52;0.13;35;4160;79.2
766718.66;6284783.32;0.4;0.09;42;3200;80.8
766721.6;6284781.69;0.44;0.14;56;3520;107.2
766724.51;6284780.29;0.39;0.15;53;3120;98
766725.92;6284779.55;0.46;0.11;51;3680;99.5
766729.72;6284777.56;0.47;0.05;48;3760;94
766732.25;6284776.18;0.38;0.19;53;3040;98
766734.31;6284775.02;0.51;0.15;43;4080;90.5
766736.9;6284773.68;0.41;0.09;58;3280;107.6
766739.08;6284772.44;0.42;0.1;51;3360;96.2
766742.3;6284770.88;0.38;0.1;41;3040;78.3
766744.75;6284769.58;0.31;0.09;40;2480;72.8
766748.26;6284767.72;0.49;0.11;36;3920;78.4
766750.52;6284766.4;0.42;0.13;49;3360;93.4
766752.64;6284765.26;0.48;0.12;39;3840;82.2
766755.88;6284763.54;0.43;0.11;42;3440;83
766758.58;6284762.12;0.36;0.15;43;2880;80.6
766760.86;6284760.94;0.52;0.11;37;4160;81.7
766763.34;6284759.63;0.51;0.2;42;4080;89.8
766765.98;6284758.25;0.46;0.17;42;3680;85.9
766769.34;6284756.42;0.54;0.08;25;4320;67
766771.25;6284755.46;0.41;0.23;56;3280;106.3
766774.3;6284753.74;0.46;0.08;39;3680;80.3
766776.74;6284752.59;0.39;0.07;45;3120;84.2
766778.47;6284751.69;0.5;0.13;41;4000;86.5
766782.04;6284749.79;0.44;0.19;44;3520;87.9
766784.25;6284748.67;0.45;0.2;31;3600;70.8
766776.28;6284747.2;0.39;0.07;41;3120;78.6
766773.86;6284748.3;0.4;0.17;44;3200;84.8
766771.56;6284749.6;0.36;0.11;57;2880;102
766768.39;6284751.32;0.31;0.13;50;2480;87.2
766766.18;6284752.57;0.4;0.07;54;3200;99.3
766762.85;6284754.32;0.37;0.11;46;2960;84.9
766760.21;6284755.6;0.33;0.19;57;2640;101.1
766758.03;6284756.71;0.45;0.16;45;3600;89.6
766754.72;6284758.53;0.37;0.1;51;2960;92.5
766752.95;6284759.38;0.47;0.18;48;3760;96.2
766749.85;6284761.08;0.44;0.14;52;3520;100
766747.16;6284762.46;0.41;0.2;40;3280;80.3
766745.11;6284763.56;0.43;0.18;47;3440;91.7
766741.84;6284765.37;0.36;0.14;52;2880;94
766739.29;6284766.66;0.38;0.14;54;3040;98.9
766736.13;6284768.42;0.46;0.12;40;3680;82.3
766733.25;6284769.9;0.03;0.05;65;240;89.6
766731.67;6284770.66;0.44;0.05;42;3520;82.9
766728.84;6284772.22;0.38;0.12;51;3040;93.6
766726.96;6284773.28;0.43;0.15;47;3440;91.3
766723.64;6284775;0.35;0.12;45;2800;82.3
766721.74;6284775.99;0.41;0.11;51;3280;95.5
766718.59;6284777.69;0.45;0.1;41;3600;82.8
766717.76;6284778.17;0.56;0.11;33;4480;78.7
766713.78;6284780.22;0.48;0.05;33;3840;73.1
766712.42;6284780.87;0.41;0.11;51;3280;95.5
766709.55;6284782.47;0.42;0.15;52;3360;98.8
766707.56;6284783.56;0.1;0.13;41;800;63.3
766704.68;6284785;0.46;0.11;43;3680;86.5
766702.16;6284786.38;0.34;0.75;53;2720;104.5
766700.18;6284787.46;0.4;0.14;47;3200;88.9
766696.99;6284789.06;0.4;0.09;58;3200;106.8
766694.54;6284790.45;0.3;0.14;57;2400;97.9
766691.77;6284791.87;0.41;0.06;35;3280;71.8
766688.96;6284793.26;0.35;0.12;58;2800;103.2
766687.18;6284794.22;0.45;0.16;52;3600;101.3
766683.86;6284796;0.46;0.11;42;3680;85.1
766681.53;6284797.21;0.42;0.16;49;3360;93.9
766678.47;6284798.81;0.47;0.08;42;3760;85.2
766676.12;6284800.02;0.42;0.13;55;3360;103.6
766673.61;6284801.4;0.47;0.12;58;3760;113.3
766670.97;6284802.76;0.43;0.11;39;3440;78.9
766669.26;6284803.6;0.46;0.1;42;3680;84.9
766665.88;6284805.41;0.5;0.14;43;4000;89.8
766663.02;6284806.88;0.39;0.15;52;3120;96.3
766660.22;6284808.36;0.45;0.07;51;3600;97.9
766657.35;6284809.88;0.39;0.15;52;3120;96.3
766655.72;6284810.71;0.48;0.09;42;3840;86.1
766651.68;6284812.86;0.51;0.12;38;4080;82.7
766649.93;6284813.77;0.43;0.18;17;3440;55.9
766647.1;6284815.33;0.46;0.14;31;3680;70.6
766645.2;6284816.31;0.47;0.08;20;3760;58.2
766642.96;6284817.37;0.5;0.12;51;4000;102.8
766641.1;6284812.72;0.45;0.19;51;3600;100
766642.87;6284811.77;0.37;0.24;61;2960;112.6
766646.09;6284810.22;0.4;0.16;49;3200;92.5
766648.68;6284808.83;0.37;0.14;45;2960;83.9
766651.15;6284807.62;0.44;0.14;53;3520;101.8
766653.81;6284806.18;0.47;0.3;48;3760;98.2
766656.65;6284804.66;0.45;0.15;54;3600;104.5
766659.14;6284803.38;0.5;0.12;34;4000;76.5
766662.22;6284801.71;0.44;0.12;49;3520;94.7
766663.86;6284800.88;0.5;0.07;28;4000;68.4
766667.16;6284799.07;0.48;0.12;53;3840;104.7
766669.56;6284797.86;0.51;0.12;42;4080;88.6
766672.1;6284796.54;0.45;0.15;54;3600;104.5
766674.97;6284795.01;0.42;0.16;41;3360;81.7
766676.65;6284794.12;0.51;0.1;40;4080;85.2
766679.74;6284792.38;0.42;0.11;54;3360;101.5
766682.11;6284791.12;0.43;0.11;48;3440;92.2
766684.77;6284789.73;0.45;0.09;46;3600;90.1
766687.62;6284788.29;0.54;0.11;28;4320;71
766690.03;6284787.06;0.46;0.07;47;3680;92.2
766693.04;6284785.52;0.48;0.08;52;3840;102.2
766694.22;6284784.85;0.49;0.05;37;3920;79
766698.52;6284782.6;0.51;0.09;32;4080;74
766700.41;6284781.64;0.3;0.18;23;2400;55.4
766703.23;6284780.08;0.54;0.07;31;4320;74.2
766705.02;6284779.18;0.41;0.16;37;3280;75.6
766708.8;6284777.14;0.45;0.18;47;3600;93.1
766711.22;6284775.88;0.47;0.11;44;3760;88.8
766714.04;6284774.32;0.41;0.14;57;3280;106.6
766716.33;6284773.05;0.5;0.18;38;4000;82.8
766718.98;6284771.68;0.38;0.22;56;3040;103.8
766721.13;6284770.57;0.44;0.14;54;3520;103.6
766724.53;6284768.78;0.44;0.07;50;3520;95.5
766727.24;6284767.3;0.4;0.12;60;3200;111
766729.64;6284766.07;0.4;0.19;59;3200;110.4
766732.27;6284764.58;0.4;0.13;59;3200;109.3
766735.14;6284763.2;0.43;0.12;59;3440;111.7
766738.08;6284761.73;0.44;0.13;48;3520;93.3
766740.44;6284760.43;0.37;0.13;54;2960;97.9
766742.93;6284759.06;0.39;0.08;54;3120;98.6
766745.9;6284757.34;0.38;0.11;55;3040;100
766747.78;6284756.29;0.43;0.1;36;3440;74.7
766751.56;6284754.5;0.47;0.06;47;3760;92.6
766754.05;6284753.06;0.33;0.1;50;2640;88.1
766756.47;6284751.94;0.39;0.1;47;3120;87.6
766759.37;6284750.48;0.24;0.25;40;1920;70.8
766761.06;6284749.64;0.49;0.08;32;3920;72.8
766764.58;6284747.72;0.52;0.19;22;4160;63.9
