X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766297.47;6284609.98;0.11;0.27;24;880;53.7;54.8
766297.34;6284613.06;0.11;0.14;48;880;79.2;35.6
766297.15;6284616.15;0.13;0.11;48;1040;79.3;35.6
766297.1;6284619.31;0.12;0.16;52;960;86.2;32.4
766297.05;6284622.08;0.13;0.08;39;1040;66.7;42.8
766297.02;6284625.75;0.06;0.14;38;480;64.3;43.6
766296.94;6284627.03;0.14;0.14;38;1120;67.2;43.6
766296.9;6284632.12;0.12;0.13;38;960;66.3;43.6
766296.88;6284633.62;0.11;0.11;49;880;79.8;34.8
766296.76;6284636.91;0.12;0.4;50;960;90.2;34
766291.74;6284635.84;0.11;0.06;42;880;69.1;40.4
766291.85;6284633.98;0.11;0.08;46;880;74.8;37.2
766291.92;6284629.78;0.16;0.11;40;1280;69.7;42
766291.97;6284627.84;0.11;0.09;45;880;73.7;38
766292.03;6284624.49;0.11;0.09;40;880;67.4;42
766292.13;6284621.13;0.15;0.09;30;1200;57.5;50
766292.16;6284619.51;0.11;0.08;25;880;51.2;54
766292.24;6284615.34;0.18;0.09;37;1440;66.3;44.4
766292.33;6284612.41;0.11;0.07;52;880;83.1;32.4
766292.41;6284609.87;0.11;0.1;42;880;70.1;40.4
766292.47;6284606.77;0.1;0.1;41;800;68.5;41.2
766292.58;6284603.95;0.05;0.09;51;400;79.5;33.2
766292.67;6284600.97;0.11;0.09;51;880;82.2;33.2
766292.78;6284597.57;0.11;0.07;53;880;84.6;31.6
766292.81;6284594.48;0.19;0.06;44;1520;74.9;38.8
766292.83;6284591.97;0.13;0.08;52;1040;84.3;32.4
766292.89;6284589.06;0.14;0.09;54;1120;88.2;30.8
766292.99;6284585.98;0.18;0.08;50;1440;83.6;34
766293.03;6284583.46;0.14;0.07;47;1120;77.2;36.4
766293.13;6284580.41;0.15;0.09;51;1200;84;33.2
766293.12;6284577.86;0.11;0.08;46;880;74.8;37.2
766293.23;6284573.93;0.17;0.14;39;1360;69.6;42.8
766293.24;6284570.57;0.18;0.11;33;1440;62.1;47.6
766293.29;6284568.52;0.15;0.17;42;1200;73.4;40.4
766293.43;6284565.84;0.2;0.12;49;1600;84.1;34.8
