X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766704.68;6284785;0.46;0.11;0.78;3680
766702.16;6284786.38;0.34;0.75;0.88;2720
766700.18;6284787.46;0.4;0.14;0.82;3200
766696.99;6284789.06;0.4;0.09;0.93;3200
766694.54;6284790.45;0.3;0.14;0.92;2400
766691.77;6284791.87;0.41;0.06;0.7;3280
766688.96;6284793.26;0.35;0.12;0.93;2800
766687.18;6284794.22;0.45;0.16;0.87;3600
766683.86;6284796;0.46;0.11;0.77;3680
766681.53;6284797.21;0.42;0.16;0.84;3360
766678.47;6284798.81;0.47;0.08;0.77;3760
766676.12;6284800.02;0.42;0.13;0.9;3360
766673.61;6284801.4;0.47;0.12;0.93;3760
766670.97;6284802.76;0.43;0.11;0.74;3440
766669.26;6284803.6;0.46;0.1;0.77;3680
766665.88;6284805.41;0.5;0.14;0.78;4000
766663.02;6284806.88;0.39;0.15;0.87;3120
766660.22;6284808.36;0.45;0.07;0.86;3600
766657.35;6284809.88;0.39;0.15;0.87;3120
766655.72;6284810.71;0.48;0.09;0.77;3840
766651.68;6284812.86;0.51;0.12;0.73;4080
766649.93;6284813.77;0.43;0.18;0.52;3440
766647.1;6284815.33;0.46;0.14;0.66;3680
766645.2;6284816.31;0.47;0.08;0.55;3760
766642.96;6284817.37;0.5;0.12;0.86;4000
766641.1;6284812.72;0.45;0.19;0.86;3600
766642.87;6284811.77;0.37;0.24;0.96;2960
766646.09;6284810.22;0.4;0.16;0.84;3200
766648.68;6284808.83;0.37;0.14;0.8;2960
766651.15;6284807.62;0.44;0.14;0.88;3520
766653.81;6284806.18;0.47;0.3;0.83;3760
766656.65;6284804.66;0.45;0.15;0.89;3600
766659.14;6284803.38;0.5;0.12;0.69;4000
766662.22;6284801.71;0.44;0.12;0.84;3520
766663.86;6284800.88;0.5;0.07;0.63;4000
766667.16;6284799.07;0.48;0.12;0.88;3840
766669.56;6284797.86;0.51;0.12;0.77;4080
766672.1;6284796.54;0.45;0.15;0.89;3600
766674.97;6284795.01;0.42;0.16;0.76;3360
766676.65;6284794.12;0.51;0.1;0.75;4080
766679.74;6284792.38;0.42;0.11;0.89;3360
766682.11;6284791.12;0.43;0.11;0.83;3440
766684.77;6284789.73;0.45;0.09;0.81;3600
766687.62;6284788.29;0.54;0.11;0.63;4320
766690.03;6284787.06;0.46;0.07;0.82;3680
766693.04;6284785.52;0.48;0.08;0.87;3840
766694.22;6284784.85;0.49;0.05;0.72;3920
766698.52;6284782.6;0.51;0.09;0.67;4080
766700.41;6284781.64;0.3;0.18;0.58;2400
766703.23;6284780.08;0.54;0.07;0.66;4320
766705.02;6284779.18;0.41;0.16;0.72;3280
766708.8;6284777.14;0.45;0.18;0.82;3600
766711.22;6284775.88;0.47;0.11;0.79;3760
766714.04;6284774.32;0.41;0.14;0.92;3280
766716.33;6284773.05;0.5;0.18;0.73;4000
766718.98;6284771.68;0.38;0.22;0.91;3040
766721.13;6284770.57;0.44;0.14;0.89;3520
766724.53;6284768.78;0.44;0.07;0.85;3520
766727.24;6284767.3;0.4;0.12;0.95;3200
766729.64;6284766.07;0.4;0.19;0.94;3200
766732.27;6284764.58;0.4;0.13;0.94;3200
766735.14;6284763.2;0.43;0.12;0.94;3440
766738.08;6284761.73;0.44;0.13;0.83;3520
766740.44;6284760.43;0.37;0.13;0.89;2960
766742.93;6284759.06;0.39;0.08;0.89;3120
766745.9;6284757.34;0.38;0.11;0.9;3040
766747.78;6284756.29;0.43;0.1;0.71;3440
766751.56;6284754.5;0.47;0.06;0.82;3760
766754.05;6284753.06;0.33;0.1;0.85;2640
766756.47;6284751.94;0.39;0.1;0.82;3120
766759.37;6284750.48;0.24;0.25;0.75;1920
766761.06;6284749.64;0.49;0.08;0.67;3920
766764.58;6284747.72;0.52;0.19;0.57;4160
766767.42;6284746.08;0.42;0.17;0.84;3360
766656.36;6284841.69;0.47;0.19;0.59;3760
766659.01;6284840.38;0.23;0.23;0.67;1840
766660.74;6284839.47;0.48;0.08;0.71;3840
766664.45;6284837.44;0.52;0.23;0.51;4160
766666.66;6284836.28;0.38;0.55;0.6;3040
766669.45;6284834.94;0.52;0.17;0.58;4160
766671.87;6284833.58;0.36;0.27;0.65;2880
766674.11;6284832.41;0.53;0.17;0.54;4240
766678.12;6284830.26;0.56;0.15;0.39;4480
766679.46;6284829.65;0.45;0.31;0.45;3600
766682.54;6284827.93;0.55;0.21;0.54;4400
766685.37;6284826.44;0.79;0.14;0.18;6320
766687.2;6284825.41;0.59;0.24;0.58;4720
766691.26;6284823.23;0.6;0.25;0.46;4800
766694.51;6284821.61;0.35;0.2;0.72;2800
766696.03;6284820.72;0.55;0.17;0.67;4400
766699.86;6284818.75;0.29;0.21;0.55;2320
766700.64;6284818.47;0.52;0.05;0.58;4160
766704.77;6284816.22;0.49;0.04;0.73;3920
766707.01;6284815.02;0.26;0.42;0.59;2080
766709.71;6284813.63;0.51;0.27;0.63;4080
766711.6;6284812.67;0.23;0.66;0.61;1840
766714.09;6284811.47;0.47;0.11;0.72;3760
766718.29;6284809.16;0.51;0.15;0.68;4080
766719.59;6284808.48;0.33;0.47;0.61;2640
766723.1;6284806.77;0.53;0.14;0.5;4240
766726.28;6284804.92;0.49;0.18;0.78;3920
766728.92;6284803.63;0.26;0.18;0.63;2080
766731.2;6284802.44;0.47;0.17;0.69;3760
766733.45;6284801.18;0.57;0.19;0.31;4560
766735.97;6284799.88;0.46;0.05;0.82;3680
766740.11;6284797.59;0.49;0.02;0.63;3920
766742;6284796.6;0.44;0.25;0.58;3520
766745.12;6284794.93;0.49;0.45;0.61;3920
766746.16;6284794.3;0.24;0.21;0.54;1920
766749.75;6284792.6;0.45;0.18;0.79;3600
766753.53;6284790.51;0.49;0.09;0.74;3920
766754.98;6284789.76;0.4;0.25;0.64;3200
766758.05;6284788.04;0.53;0.24;0.63;4240
766760.27;6284786.8;0.38;0.22;0.68;3040
766762.87;6284785.27;0.52;0.33;0.67;4160
766765.64;6284783.97;0.53;0.2;0.51;4240
766769.95;6284781.68;0.34;0.19;0.67;2720
766771.39;6284780.94;0.6;0.29;0.44;4800
766773.82;6284779.69;0.44;0.23;0.64;3520
766775.73;6284778.61;0.56;0.16;0.49;4480
766780.08;6284776.32;0.48;0.15;0.64;3840
766782.57;6284775.01;0.43;0.13;0.67;3440
766784.67;6284773.94;0.51;0.2;0.64;4080
766785.83;6284773.27;0.18;0.23;0.57;1440
766789.33;6284771.45;0.51;0.23;0.57;4080
766792.58;6284769.81;0.51;0.46;0.66;4080
766795.25;6284768.42;0.43;0.18;0.82;3440
766797.5;6284767.29;0.51;0.18;0.75;4080
766800.28;6284765.72;0.32;0.75;0.63;2560
766802.61;6284764.55;0.54;0.31;0.57;4320
766805.67;6284762.98;0.53;0.26;0.65;4240
766808.12;6284761.67;0.32;0.68;0.31;2560
766811.23;6284759.98;0.51;0.2;0.83;4080
766813.42;6284758.84;0.39;0.17;0.69;3120
766816.24;6284757.45;0.45;0.29;0.81;3600
766817.85;6284756.59;0.25;0.12;0.82;2000
766806.86;6284756.48;0.64;0.88;0.46;5120
766804.84;6284757.61;0.51;0.37;0.7;4080
766801.16;6284759.54;0.38;0.43;0.54;3040
766799.05;6284760.67;0.51;0.22;0.63;4080
766797.01;6284761.78;0.42;0.83;0.56;3360
766793.75;6284763.5;0.43;0.16;0.78;3440
766790.88;6284765.02;0.49;0.2;0.62;3920
766788.03;6284766.5;0.45;0.14;0.67;3600
766785.48;6284767.82;0.57;0.09;0.48;4560
766783.28;6284769.04;0.47;0.16;0.77;3760
766780.38;6284770.52;0.43;0.11;0.62;3440
