X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766741.84;6284765.37;0.36;0.14;52;2880;198.5
766739.29;6284766.66;0.38;0.14;54;3040;208.8
766736.13;6284768.42;0.46;0.12;40;3680;173.7
766733.25;6284769.9;0.03;0.05;65;240;189.1
766731.67;6284770.66;0.44;0.05;42;3520;175
766728.84;6284772.22;0.38;0.12;51;3040;197.5
766726.96;6284773.28;0.43;0.15;47;3440;192.6
766723.64;6284775;0.35;0.12;45;2800;173.7
766721.74;6284775.99;0.41;0.11;51;3280;201.6
766718.59;6284777.69;0.45;0.1;41;3600;174.7
766717.76;6284778.17;0.56;0.11;33;4480;166
766713.78;6284780.22;0.48;0.05;33;3840;154.4
766712.42;6284780.87;0.41;0.11;51;3280;201.6
766709.55;6284782.47;0.42;0.15;52;3360;208.4
766707.56;6284783.56;0.1;0.13;41;800;133.5
766704.68;6284785;0.46;0.11;43;3680;182.6
766702.16;6284786.38;0.34;0.75;53;2720;220.6
766700.18;6284787.46;0.4;0.14;47;3200;187.6
766696.99;6284789.06;0.4;0.09;58;3200;225.3
766694.54;6284790.45;0.3;0.14;57;2400;206.5
766691.77;6284791.87;0.41;0.06;35;3280;151.6
766688.96;6284793.26;0.35;0.12;58;2800;217.7
766687.18;6284794.22;0.45;0.16;52;3600;213.7
766683.86;6284796;0.46;0.11;42;3680;179.5
766681.53;6284797.21;0.42;0.16;49;3360;198.1
766678.47;6284798.81;0.47;0.08;42;3760;179.8
766676.12;6284800.02;0.42;0.13;55;3360;218.5
766673.61;6284801.4;0.47;0.12;58;3760;239.1
766670.97;6284802.76;0.43;0.11;39;3440;166.5
766669.26;6284803.6;0.46;0.1;42;3680;179.3
766665.88;6284805.41;0.5;0.14;43;4000;189.4
766663.02;6284806.88;0.39;0.15;52;3120;203.3
766660.22;6284808.36;0.45;0.07;51;3600;206.5
766657.35;6284809.88;0.39;0.15;52;3120;203.3
766655.72;6284810.71;0.48;0.09;42;3840;181.8
766651.68;6284812.86;0.51;0.12;38;4080;174.4
766649.93;6284813.77;0.43;0.18;17;3440;115
766647.1;6284815.33;0.46;0.14;31;3680;149
766645.2;6284816.31;0.47;0.08;20;3760;122.8
766642.96;6284817.37;0.5;0.12;51;4000;216.9
766641.1;6284812.72;0.45;0.19;51;3600;211
766642.87;6284811.77;0.37;0.24;61;2960;237.7
766646.09;6284810.22;0.4;0.16;49;3200;195.2
766648.68;6284808.83;0.37;0.14;45;2960;177.1
766651.15;6284807.62;0.44;0.14;53;3520;214.9
766653.81;6284806.18;0.47;0.3;48;3760;207.3
766656.65;6284804.66;0.45;0.15;54;3600;220.6
766659.14;6284803.38;0.5;0.12;34;4000;161.4
766662.22;6284801.71;0.44;0.12;49;3520;199.8
766663.86;6284800.88;0.5;0.07;28;4000;144.3
766667.16;6284799.07;0.48;0.12;53;3840;221
766669.56;6284797.86;0.51;0.12;42;4080;187
766672.1;6284796.54;0.45;0.15;54;3600;220.6
766674.97;6284795.01;0.42;0.16;41;3360;172.4
766676.65;6284794.12;0.51;0.1;40;4080;179.8
766679.74;6284792.38;0.42;0.11;54;3360;214.1
766682.11;6284791.12;0.43;0.11;48;3440;194.5
766684.77;6284789.73;0.45;0.09;46;3600;190.1
766687.62;6284788.29;0.54;0.11;28;4320;149.8
766690.03;6284787.06;0.46;0.07;47;3680;194.5
766693.04;6284785.52;0.48;0.08;52;3840;215.7
766694.22;6284784.85;0.49;0.05;37;3920;166.7
766698.52;6284782.6;0.51;0.09;32;4080;156.2
766700.41;6284781.64;0.3;0.18;23;2400;115.2
766703.23;6284780.08;0.54;0.07;31;4320;156.6
766705.02;6284779.18;0.41;0.16;37;3280;159.6
766708.8;6284777.14;0.45;0.18;47;3600;196.5
766711.22;6284775.88;0.47;0.11;44;3760;187.3
766714.04;6284774.32;0.41;0.14;57;3280;224.9
766716.33;6284773.05;0.5;0.18;38;4000;174.7
766718.98;6284771.68;0.38;0.22;56;3040;218.9
766721.13;6284770.57;0.44;0.14;54;3520;218.5
766724.53;6284768.78;0.44;0.07;50;3520;201.6
766727.24;6284767.3;0.4;0.12;60;3200;234.3
766729.64;6284766.07;0.4;0.19;59;3200;232.9
766732.27;6284764.58;0.4;0.13;59;3200;230.6
766735.14;6284763.2;0.43;0.12;59;3440;235.8
766738.08;6284761.73;0.44;0.13;48;3520;196.8
766740.44;6284760.43;0.37;0.13;54;2960;206.5
766742.93;6284759.06;0.39;0.08;54;3120;208
766745.9;6284757.34;0.38;0.11;55;3040;211
766747.78;6284756.29;0.43;0.1;36;3440;157.7
766751.56;6284754.5;0.47;0.06;47;3760;195.5
766754.05;6284753.06;0.33;0.1;50;2640;185.8
766756.47;6284751.94;0.39;0.1;47;3120;184.9
766759.37;6284750.48;0.24;0.25;40;1920;149.4
766761.06;6284749.64;0.49;0.08;32;3920;153.6
766764.58;6284747.72;0.52;0.19;22;4160;134.8
766767.42;6284746.08;0.42;0.17;49;3360;198.5
766656.36;6284841.69;0.47;0.19;24;3760;134.1
766659.01;6284840.38;0.23;0.23;32;1840;128.7
766660.74;6284839.47;0.48;0.08;36;3840;163.4
766664.45;6284837.44;0.52;0.23;16;4160;122.2
766666.66;6284836.28;0.38;0.55;25;3040;135.4
766669.45;6284834.94;0.52;0.17;23;4160;136.7
766671.87;6284833.58;0.36;0.27;30;2880;138.4
766674.11;6284832.41;0.53;0.17;19;4240;128.5
766678.12;6284830.26;0.56;0.15;4;4480;101
766679.46;6284829.65;0.45;0.31;10;3600;105.7
766682.54;6284827.93;0.55;0.21;19;4400;131.4
766685.37;6284826.44;0.79;0.14;-17;6320;99.3
766687.2;6284825.41;0.59;0.24;23;4720;146.1
766691.26;6284823.23;0.6;0.25;11;4800;119.7
766694.51;6284821.61;0.35;0.2;37;2800;153.4
766696.03;6284820.72;0.55;0.17;32;4400;163.4
766699.86;6284818.75;0.29;0.21;20;2320;109.2
766700.64;6284818.47;0.52;0.05;23;4160;133.8
766704.77;6284816.22;0.49;0.04;38;3920;169.4
766707.01;6284815.02;0.26;0.42;24;2080;118.5
766709.71;6284813.63;0.51;0.27;28;4080;150.4
766711.6;6284812.67;0.23;0.66;26;1840;124.8
766714.09;6284811.47;0.47;0.11;37;3760;165.8
766718.29;6284809.16;0.51;0.15;33;4080;160.7
766719.59;6284808.48;0.33;0.47;26;2640;130.7
766723.1;6284806.77;0.53;0.14;15;4240;119.2
766726.28;6284804.92;0.49;0.18;43;3920;189.1
766728.92;6284803.63;0.26;0.18;28;2080;121.8
766731.2;6284802.44;0.47;0.17;34;3760;159
766733.45;6284801.18;0.57;0.19;-4;4560;92.6
766735.97;6284799.88;0.46;0.05;47;3680;193.9
766740.11;6284797.59;0.49;0.02;28;3920;141.8
766742;6284796.6;0.44;0.25;23;3520;130.1
766745.12;6284794.93;0.49;0.45;26;3920;147.5
766746.16;6284794.3;0.24;0.21;19;1920;103.1
766749.75;6284792.6;0.45;0.18;44;3600;186.4
766753.53;6284790.51;0.49;0.09;39;3920;173.7
766754.98;6284789.76;0.4;0.25;29;3200;139.9
766758.05;6284788.04;0.53;0.24;28;4240;152
766760.27;6284786.8;0.38;0.22;33;3040;147
766762.87;6284785.27;0.52;0.33;32;4160;164.1
766765.64;6284783.97;0.53;0.2;16;4240;122.6
766769.95;6284781.68;0.34;0.19;32;2720;139.3
766771.39;6284780.94;0.6;0.29;9;4800;116.5
766773.82;6284779.69;0.44;0.23;29;3520;143.9
766775.73;6284778.61;0.56;0.16;14;4480;120.4
766780.08;6284776.32;0.48;0.15;29;3840;146.4
766782.57;6284775.01;0.43;0.13;32;3440;147.9
766784.67;6284773.94;0.51;0.2;29;4080;151.2
766785.83;6284773.27;0.18;0.23;22;1440;104
766789.33;6284771.45;0.51;0.23;22;4080;134.6
766792.58;6284769.81;0.51;0.46;31;4080;163.7
766795.25;6284768.42;0.43;0.18;47;3440;193.5
766797.5;6284767.29;0.51;0.18;40;4080;182.3
766800.28;6284765.72;0.32;0.75;28;2560;140.8
766802.61;6284764.55;0.54;0.31;22;4320;139.8
766805.67;6284762.98;0.53;0.26;30;4240;157.9
766808.12;6284761.67;0.32;0.68;-4;2560;85.1
766811.23;6284759.98;0.51;0.2;48;4080;210.3
766813.42;6284758.84;0.39;0.17;34;3120;149.4
766816.24;6284757.45;0.45;0.29;46;3600;196.8
766817.85;6284756.59;0.25;0.12;47;2000;166.5
766806.86;6284756.48;0.64;0.88;11;5120;137.6
766804.84;6284757.61;0.51;0.37;35;4080;172.6
766801.16;6284759.54;0.38;0.43;19;3040;119.4
766799.05;6284760.67;0.51;0.22;28;4080;149
766797.01;6284761.78;0.42;0.83;21;3360;136.7
766793.75;6284763.5;0.43;0.16;43;3440;179.8
766790.88;6284765.02;0.49;0.2;27;3920;143.7
766788.03;6284766.5;0.45;0.14;32;3600;150.4
766785.48;6284767.82;0.57;0.09;13;4560;117.8
766783.28;6284769.04;0.47;0.16;42;3760;182.3
766780.38;6284770.52;0.43;0.11;27;3440;135.1
766777.46;6284772.12;0.5;0.18;33;4000;160.3
766774.88;6284773.4;0.5;0.23;25;4000;140.8
766772.56;6284774.62;0.47;0.09;29;3760;143.9
766768.71;6284776.64;0.45;0.08;41;3600;174.2
766767.76;6284777.21;0.35;0.27;23;2800;121.7
766763.96;6284779.3;0.52;0.15;29;4160;151.2
766762.94;6284779.92;0.41;0.17;54;3280;214.5
766759.67;6284781.53;0.51;0.24;36;4080;171.9
766756.18;6284783.34;0.47;0.21;30;3760;149.4
766754.24;6284784.34;0.4;0.23;26;3200;132.5
766751.5;6284785.74;0.39;0.14;54;3120;210.3
766748.68;6284787.28;0.04;0.05;58;320;168.9
766745.62;6284788.88;0.45;0.14;36;3600;161.2
766742.83;6284790.44;0.48;0.21;26;3840;140.4
766740.37;6284791.68;0.35;0.17;25;2800;123.9
766738.19;6284792.93;0.57;0.2;8;4560;110.1
766735.29;6284794.41;0.45;0.15;22;3600;126.7
766733.08;6284795.64;0.52;0.17;26;4160;143.9
766729.29;6284797.65;0.51;0.2;24;4080;138.6
766727.66;6284798.46;0.11;0.11;44;880;141.3
766724.25;6284800.29;0.5;0.06;41;4000;180.4
