X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766920.54;6284751.2;0.24;0.19;79;1920;50;8.8
766919.99;6284753.79;0.18;0.25;61;1440;35.7;23.2
766919.35;6284756.67;0.21;0.22;67;1680;40;18.4
766918.81;6284759.34;0.1;0.34;39;800;23.7;40.8
766918.15;6284762.7;0.22;0.21;68;1760;40.8;17.6
766917.61;6284765.39;0.25;0.2;67;2000;40.6;18.4
766916.84;6284768.88;0.18;0.43;61;640;37.9;23.2
766916.26;6284771.51;0.22;0.23;61;1760;36.2;23.2
766915.63;6284774.55;0.3;0.17;57;2400;34.5;26.4
766915.12;6284777.11;0.27;0.22;60;2160;36.4;24
766914.55;6284779.73;0.3;0.18;59;2400;35.9;24.8
766913.98;6284782.64;0.3;0.21;60;2400;36.9;24
766913.34;6284785.71;0.31;0.19;60;2480;36.9;24
766912.73;6284788.51;0.32;0.21;56;2560;34.7;27.2
766912.13;6284791.31;0.27;0.17;61;2160;36.5;23.2
766911.61;6284794.08;0.26;0.16;55;2080;32.4;28
766911.1;6284796.99;0.21;0.2;65;1680;38.3;20
766910.39;6284799.9;0.19;0.19;68;1520;39.9;17.6
766909.65;6284802.92;0.23;0.21;67;1840;40.3;18.4
766909.09;6284805.51;0.29;0.15;67;2320;40.8;18.4
766908.48;6284808.57;0.1;0.31;40;800;23.9;40
766907.8;6284811.63;0.32;0.17;54;2560;33;28.8
766907.21;6284814.44;0.28;0.2;68;2240;42;17.6
766906.61;6284817.41;0.27;0.21;65;2160;39.7;20
766905.99;6284820.5;0.26;0.2;73;2080;45.5;13.6
766905.41;6284823.42;0.25;0.25;63;2000;38.4;21.6
