X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766713.72;6284791.44;0.45;0.12;57;3600;51.6;50.4
766710.4;6284793.16;0.47;0.15;47;3760;44;58.4
766707.94;6284794.64;0.4;0.11;39;3200;36.2;64.8
766704.93;6284796.28;0.4;0.09;59;3200;51.6;48.8
766703.05;6284797.27;0.26;0.05;45;2080;36.6;60
766700.66;6284798.58;0.39;0.14;49;3120;43.5;56.8
766697.93;6284799.91;0.39;0.17;59;3120;52.7;48.8
766695.6;6284801.18;0.47;0.08;47;3760;43;58.4
766692.78;6284802.63;0.5;0.09;52;4000;48;54.4
766690.48;6284803.83;0.44;0.11;53;3520;47.6;53.6
766687.52;6284805.49;0.47;0.11;46;3760;42.6;59.2
766685.6;6284806.47;0.33;0.11;55;2640;46.5;52
766682.99;6284807.81;0.5;0.11;58;4000;53.8;49.6
766680.75;6284809.01;0.45;0.11;58;3600;52.4;49.6
766677.79;6284810.56;0.45;0.12;51;3600;46.3;55.2
766674.92;6284812.13;0.49;0.11;50;3920;46.3;56
766672.17;6284813.58;0.43;0.15;61;3440;55.5;47.2
766669.96;6284814.78;0.5;0.19;38;4000;38.6;65.6
766667.03;6284816.35;0.41;0.1;58;3280;51.1;49.6
766665.27;6284817.18;0.47;0.09;49;3760;44.7;56.8
766661.62;6284819.1;0.03;0.07;61;240;43.4;47.2
766660.97;6284819.46;0.42;0.04;55;3360;47.7;52
766656.61;6284821.9;0.48;0.09;46;3840;42.6;59.2
766654.33;6284822.97;0.35;0.11;48;2800;41.4;57.6
766651.93;6284824.29;0.46;0.11;46;3680;42.4;59.2
766649.95;6284825.14;0.09;0.06;47;720;34.7;58.4
766647.53;6284826.54;0.46;0.21;41;3680;40.1;63.2
766645.98;6284821.74;0.4;0.09;46;3200;40.8;59.2
766647.9;6284820.64;0.35;0.12;60;2800;51.6;48
766650.99;6284819;0.41;0.09;52;3280;45.7;54.4
766653.57;6284817.67;0.44;0.13;45;3520;41.5;60
766655.41;6284816.65;0.48;0.1;52;3840;47.6;54.4
