X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766292.99;6284585.98;0.18;0.08;50;1440;92.9
766293.03;6284583.46;0.14;0.07;47;1120;85.3
766293.13;6284580.41;0.15;0.09;51;1200;92.5
766293.12;6284577.86;0.11;0.08;46;880;82
766293.23;6284573.93;0.17;0.14;39;1360;76.9
766293.24;6284570.57;0.18;0.11;33;1440;69.6
766293.29;6284568.52;0.15;0.17;42;1200;80.3
766293.43;6284565.84;0.2;0.12;49;1600;93.4
766293.5;6284562.51;0.11;0.1;51;880;89.8
766293.55;6284559.29;0.13;0.07;46;1040;83.2
766293.62;6284556.29;0.19;0.07;44;1520;84.2
766293.72;6284552.81;0.13;0.07;48;1040;86.1
766293.79;6284550.71;0.2;0.07;49;1600;92.6
766293.83;6284547.55;0.12;0.07;46;960;82.5
766293.9;6284544.65;0.24;0.06;37;1920;77.5
766293.94;6284540.81;0.14;0.09;43;1120;79.9
766294;6284538.5;0.14;0.08;38;1120;73.1
766294.16;6284535.68;0.17;0.1;43;1360;81.9
766294.25;6284532.49;0.14;0.06;48;1120;86.7
766323.82;6284655.01;0.02;0.28;11;160;41.8
766323.95;6284651.36;0.07;0.22;17;560;52.1
766324;6284648.96;0.12;0.18;28;960;61.6
766324.08;6284646.17;0.14;0.16;23;1120;57.1
766324.16;6284642.48;0.07;0.63;21;560;57
766324.22;6284639.76;0.1;0.17;22;800;54.5
766324.29;6284637.55;0.11;0.19;13;880;51.2
766324.4;6284633.53;0.11;0.24;14;880;52
766324.46;6284630.39;0.17;0.23;26;1360;62.3
766324.51;6284627.69;0.13;0.15;20;1040;54.1
766324.62;6284624.33;0.09;0.2;24;720;56.3
766324.63;6284621.77;0.11;0.2;21;880;54.5
766324.74;6284619.03;0.13;0.16;25;1040;58.7
766324.8;6284616.52;0.13;0.11;21;1040;54.3
766324.86;6284613.06;0.19;0.12;19;1520;55
766324.95;6284610.34;0.12;0.08;34;960;67.2
766325.03;6284607.01;0.18;0.11;26;1440;61.6
766325.14;6284604.57;0.12;0.09;27;960;59.6
766325.16;6284601.77;0.18;0.1;30;1440;65.9
766325.26;6284599.52;0.11;0.2;21;880;54.5
766325.27;6284594.98;0.12;0.12;31;960;64.2
766325.36;6284592.33;0.19;0.11;21;1520;56.9
766325.46;6284589.27;0.13;0.11;18;1040;53
766325.57;6284586.14;0.13;0.13;24;1040;57.4
766325.67;6284584.39;0.08;0.12;30;640;61.2
766325.79;6284580.42;0.12;0.09;24;960;56.5
766325.78;6284577.14;0.12;0.13;22;960;55
766325.82;6284574.62;0.14;0.08;21;1120;54.4
766326.01;6284571.51;0.13;0.06;22;1040;54.8
766326.09;6284568.86;0.15;0.07;25;1200;58.7
766326.14;6284565.27;0.23;0.15;16;1840;54.8
766326.17;6284563.24;0.08;0.2;5;640;44.3
766326.27;6284556.36;0.17;0.05;18;1360;53.4
766326.34;6284552.54;0.13;0.12;3;1040;45.4
766326.41;6284550.87;0.16;0.09;23;1280;57.4
766326.44;6284547.99;0.17;0.1;23;1360;57.9
