X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766652.42;6284818.32;1.3;0.35;75;10400;89.2
766655;6284816.93;1.15;0.31;72;9200;76.8
766657.63;6284815.53;1.42;0.28;86;11360;113.5
766660.44;6284814.08;1.05;0.28;68;8400;67
766662.36;6284813.05;1.17;0.34;78;9360;87.4
766665.6;6284811.3;1.12;0.77;74;8960;91.7
766667.48;6284810.31;1.27;0.37;80;10160;96.7
766670.07;6284808.97;1.02;1.27;13;8160;48.4
766672.84;6284807.52;1.31;0.37;79;10480;97.1
766675.49;6284806.2;1.1;0.73;62;8800;72
766677.09;6284805.34;1.14;1.07;42;9120;68.4
766679.95;6284803.74;1.24;0.43;72;9920;84.1
766682.45;6284802.51;1.04;0.25;60;8320;57.1
766684.89;6284801.25;1.27;0.28;68;10160;75.5
766687.42;6284799.92;1.13;0.34;77;9040;84
766689.81;6284798.63;1.23;0.26;67;9840;72.1
766692.61;6284797.22;1.23;0.45;74;9840;87.3
766694.72;6284796.01;1.04;0.32;75;8320;76.6
766697.77;6284794.39;1.09;0.26;28;8720;37.6
766700.16;6284793.17;1.06;0.49;74;8480;80.6
766702.58;6284791.84;1.22;0.23;76;9760;83.5
766704.87;6284790.55;1.06;0.48;73;8480;78.9
766707.03;6284789.47;1.31;0.36;74;10480;88.4
766709.91;6284787.9;0.95;0.41;73;7600;72.6
766712.24;6284786.66;0.95;0.35;69;7600;66.1
766714.68;6284785.43;0.88;0.28;71;7040;64.4
766717.06;6284784.17;1.13;0.27;72;9040;74.9
766720.13;6284782.51;1.11;0.43;68;8880;72.8
766722.27;6284781.41;1.44;0.47;78;11520;108.2
766724.89;6284780.06;1.19;0.4;78;9520;90.2
766727.51;6284778.65;1.11;0.44;58;8880;61
766730.73;6284776.94;1.11;0.42;69;8880;73.9
766732.71;6284775.96;1.12;0.55;70;8960;79.1
766735.19;6284774.56;1.16;0.3;67;9280;70.3
766738;6284773.08;1.16;0.25;74;9280;78.5
766740.34;6284771.95;1.55;0.34;77;12400;115.4
766742.85;6284770.57;1.51;0.33;73;12080;104.9
766744.93;6284769.54;1.1;0.48;61;8800;64.9
766748.21;6284767.72;1.16;0.38;77;9280;86.6
766750.76;6284766.29;1.41;0.35;83;11280;109.4
766753.38;6284764.85;1.24;0.34;72;9920;81.5
766755.88;6284763.53;1.11;0.39;63;8880;65.6
766758.5;6284762.09;1.19;0.36;69;9520;75.6
766760.88;6284760.83;1.26;0.38;78;10080;93.1
766763.45;6284759.47;1.14;0.55;77;9120;90.7
766765.98;6284758.21;1.21;0.4;78;9680;91.2
766768.42;6284756.84;1.16;0.32;71;9280;76.1
766771.14;6284755.48;1.36;0.39;82;10880;106.1
766773.64;6284754.11;1.14;0.38;69;9120;74.1
766776.25;6284752.8;1.14;0.45;73;9120;81.6
766778.23;6284751.75;1.32;0.28;70;10560;81.3
766781.66;6284749.95;1.22;0.41;67;9760;75.4
766784.01;6284748.71;1.04;0.36;60;8320;59.2
766785.97;6284747.2;1.14;0.6;74;9120;87.4
766656.83;6284841.32;1.49;0.44;74;11920;107.4
766659.59;6284839.99;1.11;0.38;60;8880;62
766661.95;6284838.65;1.38;0.37;72;11040;91.3
766664.49;6284837.38;1.48;0.37;75;11840;105.5
766667.19;6284835.98;1.21;0.51;56;9680;65.4
766669.37;6284834.89;1.6;0.42;76;12800;123.2
766672.19;6284833.37;1.16;0.33;74;9280;80.6
766674.5;6284832.15;1.17;0.31;78;9360;86.6
766677.25;6284830.66;1.01;0.41;64;8080;63.7
766679.41;6284829.53;1.3;0.35;77;10400;92.5
766681.98;6284828.14;1.42;0.5;57;11360;81.7
766684.57;6284826.73;1.14;0.47;54;9120;58.6
766686.58;6284825.64;1.25;0.52;71;10000;85.6
766689.86;6284823.93;1.55;0.46;72;12400;112.4
766692.29;6284822.68;1.34;0.98;60;10720;97.6
766694.76;6284821.4;1.35;0.64;75;10800;101.3
766697.35;6284820.05;1.69;0.49;59;13520;111.3
766699.63;6284818.89;1.45;0.59;70;11600;102.2
766702.77;6284817.24;1.12;0.96;68;8960;87.8
766705.13;6284815.98;1.13;0.39;58;9040;60.6
766707.02;6284814.9;1.24;0.39;67;9920;75.7
766709.9;6284813.39;1.3;0.39;69;10400;81.2
766711.71;6284812.47;1.24;0.8;62;9920;83
766714.62;6284811.04;1.66;0.61;63;13280;117.4
766717.43;6284809.58;1.2;0.92;54;9600;77.3
766719.22;6284808.64;1.27;0.66;75;10160;97.6
766721.84;6284807.35;1.07;0.28;45;8560;45.3
766724.6;6284805.74;1.59;0.36;77;12720;121.3
766726.8;6284804.51;1.21;0.5;73;9680;86.2
766729.51;6284803.14;1.12;0.43;75;8960;83.1
766731.96;6284801.86;1.4;0.4;70;11200;91.7
766734.35;6284800.52;1.01;0.41;61;8080;60.4
766736.58;6284799.36;1.09;0.44;40;8720;47
766739.62;6284797.73;1.36;0.47;66;10880;85.2
766741.93;6284796.53;1.35;0.44;63;10800;80.5
766745.07;6284794.84;1.25;0.3;68;10000;75.2
766746.69;6284793.95;1.24;0.31;55;9920;62.1
766749.77;6284792.39;1.12;0.31;77;8960;82.7
766752.3;6284791.06;1.09;0.35;58;8720;58.5
766754.68;6284789.78;1.29;0.5;86;10320;113.9
766757.37;6284788.27;1.31;0.33;71;10480;82.9
766759.57;6284787.09;1.2;0.55;77;9600;93.8
766761.63;6284785.9;1.19;0.52;45;9520;56.9
766765.08;6284784.19;1.46;0.41;73;11680;101.8
766766.72;6284783.27;1.1;0.41;37;8800;45.2
766770.19;6284781.43;1.66;0.27;74;13280;122.3
766772.54;6284780.24;1.63;0.39;63;13040;106.8
766774.58;6284779.11;1.4;0.38;67;11200;87.8
766776.93;6284777.82;1.15;0.46;49;9200;55.7
766780.03;6284776.22;1.54;0.28;73;12320;106.8
766782.37;6284774.97;1.38;0.35;77;11040;96.8
766784.88;6284773.69;1.49;0.43;81;11920;117.2
766787.68;6284772.17;1.17;0.33;61;9360;64.1
766790.16;6284770.86;1.29;0.27;77;10320;89.5
766792.29;6284769.77;1.38;0.39;73;11040;93.1
766795.24;6284768.23;1.53;0.41;69;12240;104.1
766797.41;6284767.15;1.18;0.43;67;9440;74.3
766800.31;6284765.57;1.57;0.37;67;12560;104.7
766802.91;6284764.18;1.2;0.43;65;9600;72.5
766805.43;6284762.9;1.37;0.32;67;10960;83.5
766807.69;6284761.74;1.06;0.58;27;8480;42.2
766811.02;6284759.88;1;0.36;64;8000;62.3
766813.12;6284758.83;1.12;0.42;78;8960;87.4
766815.64;6284757.52;1.26;0.55;79;10080;100.5
766815.88;6284756.19;1.1;0.59;55;8800;60.5
